               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076467,            0.029995,                   0,             0.34258,             0.37992,             0.33827,             0.13521,            0.046495,            0.015075,                   0,            0.070127,           0.0033192,           0.0033192
                   1,            0.052613,            0.021235,                   0,             0.61074,              0.5665,             0.59594,             0.22686,            0.044088,            0.011416,                   0,            0.040061,           0.0065867,           0.0065867
                   2,            0.049029,            0.021337,                   0,             0.62895,              0.5665,             0.62693,             0.24619,             0.04167,            0.011303,                   0,           0.0099294,           0.0097882,           0.0097882
                   3,            0.046514,            0.019489,                   0,             0.69807,             0.57143,             0.64044,               0.239,            0.040198,            0.011167,                   0,            0.009703,            0.009703,            0.009703
                   4,              0.0443,            0.020747,                   0,             0.66021,             0.62562,             0.67707,             0.30775,            0.037191,            0.011083,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.040008,            0.019384,                   0,             0.73062,              0.6146,             0.68851,             0.36322,            0.031768,            0.011533,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.037587,             0.01855,                   0,             0.65479,             0.69951,             0.71135,             0.34185,            0.032632,            0.011159,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.036918,            0.018669,                   0,             0.76473,             0.64039,             0.74475,             0.39897,            0.031497,            0.011288,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.037494,            0.019524,                   0,              0.7769,             0.66902,             0.73166,             0.38044,            0.032219,            0.010989,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.035712,            0.018384,                   0,             0.69123,              0.6727,             0.72188,              0.3713,            0.031272,             0.01071,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.036357,            0.018785,                   0,             0.76833,             0.62081,             0.72543,             0.37484,            0.031558,            0.011899,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034216,            0.018268,                   0,             0.75916,             0.74877,             0.76881,             0.39879,            0.031147,            0.010802,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034574,             0.01817,                   0,             0.72598,             0.70477,              0.7344,             0.39266,            0.030863,            0.010516,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.034378,            0.018272,                   0,             0.73222,             0.66502,             0.72597,             0.38505,            0.030814,            0.011015,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033346,            0.018416,                   0,             0.72323,             0.68224,             0.74473,             0.40002,            0.031207,            0.010725,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032571,            0.018079,                   0,             0.77857,             0.63547,              0.7306,             0.40334,            0.030183,            0.010819,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.032296,            0.018295,                   0,              0.7322,             0.71383,             0.76564,             0.42989,            0.030742,            0.010114,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.03112,            0.017383,                   0,             0.76442,             0.71921,             0.77381,             0.43136,            0.030038,            0.010372,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.032297,            0.017562,                   0,             0.77257,              0.6861,             0.76914,             0.41107,            0.030971,            0.010688,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.032274,            0.017193,                   0,             0.67867,             0.70936,             0.74023,             0.40403,             0.02983,            0.010773,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.032214,            0.016681,                   0,             0.74314,             0.71429,             0.78472,             0.42593,            0.030221,            0.010881,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.031068,            0.016251,                   0,             0.72847,             0.73892,             0.77106,             0.42472,            0.030566,            0.010639,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.029822,            0.016671,                   0,             0.79067,             0.65122,             0.79824,             0.46225,            0.028595,            0.010488,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.03119,            0.016632,                   0,             0.69861,              0.6601,             0.75436,             0.41639,            0.030547,            0.010649,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031461,             0.01694,                   0,             0.75767,             0.69951,             0.76145,             0.41621,            0.029324,            0.011001,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.029317,            0.016818,                   0,             0.84347,             0.69951,             0.81789,             0.43668,            0.028271,              0.0105,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.030731,            0.017113,                   0,              0.7886,             0.71921,             0.81288,              0.4567,            0.028089,            0.010632,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.029317,            0.016172,                   0,             0.74874,             0.75862,             0.79822,             0.45929,            0.027192,            0.010758,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.028762,            0.016704,                   0,             0.73512,             0.75193,             0.80323,             0.44685,            0.028941,            0.010383,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.028703,             0.01627,                   0,             0.78351,             0.73097,             0.82633,             0.45152,            0.029366,            0.010374,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.028074,             0.01563,                   0,             0.77587,             0.75862,             0.81654,             0.45766,              0.0285,            0.010437,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.028854,            0.015964,                   0,             0.77864,              0.6931,             0.78592,             0.44275,            0.027845,            0.010554,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.027672,            0.016307,                   0,             0.72541,              0.7931,             0.79555,             0.45237,            0.028156,            0.010981,                   0,            0.006931,            0.006931,            0.006931
